cpu-cores-available,cpu-cores-utilized,cpu-manufacturer,cpu-model-name,cpu-tdp,gpu-count,gpu-model-name,Hardware Information on AWS Documentation & Comments,instance-class,instance-storage,memory-available,platform-memory,release-date,storage-drives
96,16,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5dn.4xlarge,2 x 300 NVMe SSD,64,384,October 2019,4
96,32,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5dn.8xlarge,2 x 600 NVMe SSD,128,384,October 2019,4
96,2,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5dn.large,1 x 75 NVMe SSD,8,384,October 2019,4
96,96,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5dn.metal,4 x 900 NVMe SSD,384,384,February 2021,4
96,4,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5dn.xlarge,1 x 150 NVMe SSD,16,384,October 2019,4
96,48,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5n.12xlarge,EBS-Only,192,384,October 2019,0
96,64,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5n.16xlarge,EBS-Only,256,384,October 2019,0
96,96,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5n.24xlarge,EBS-Only,384,384,October 2019,0
96,8,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5n.2xlarge,EBS-Only,32,384,October 2019,0
96,16,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5n.4xlarge,EBS-Only,64,384,October 2019,0
96,32,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5n.8xlarge,EBS-Only,128,384,October 2019,0
96,2,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5n.large,EBS-Only,8,384,October 2019,0
96,96,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5n.metal,EBS-Only,384,384,February 2021,0
96,4,Intel,Intel® Xeon® Platinum 8259CL,210.00,N/A,N/A,Up to 3.5 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake),m5n.xlarge,EBS-Only,16,384,October 2019,0
48,48,Intel,Intel® Xeon® Platinum 8252C,105.00,N/A,N/A,Fastest Intel Xeon Scalable processors in the cloud with an all-core turbo frequency up to 4.5 GHz,m5zn.12xlarge,EBS-Only,192,192,December 2020,0
48,8,Intel,Intel® Xeon® Platinum 8252C,105.00,N/A,N/A,Fastest Intel Xeon Scalable processors in the cloud with an all-core turbo frequency up to 4.5 GHz,m5zn.2xlarge,EBS-Only,32,192,December 2020,0
48,12,Intel,Intel® Xeon® Platinum 8252C,105.00,N/A,N/A,Fastest Intel Xeon Scalable processors in the cloud with an all-core turbo frequency up to 4.5 GHz,m5zn.3xlarge,EBS-Only,48,192,December 2020,0
48,24,Intel,Intel® Xeon® Platinum 8252C,105.00,N/A,N/A,Fastest Intel Xeon Scalable processors in the cloud with an all-core turbo frequency up to 4.5 GHz,m5zn.6xlarge,EBS Only,96,192,December 2020,0
48,2,Intel,Intel® Xeon® Platinum 8252C,105.00,N/A,N/A,Fastest Intel Xeon Scalable processors in the cloud with an all-core turbo frequency up to 4.5 GHz,m5zn.large,EBS-Only,8,192,December 2020,0
48,48,Intel,Intel® Xeon® Platinum 8252C,105.00,N/A,N/A,Fastest Intel Xeon Scalable processors in the cloud with an all-core turbo frequency up to 4.5 GHz,m5zn.metal,EBS-Only,192,192,December 2020,0
48,4,Intel,Intel® Xeon® Platinum 8252C,105.00,N/A,N/A,Fastest Intel Xeon Scalable processors in the cloud with an all-core turbo frequency up to 4.5 GHz,m5zn.xlarge,EBS-Only,16,192,December 2020,0
64,48,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.12xlarge,EBS-Only,192,256,December 2019,0
64,48,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.12xlarge.elasticsearch,EBS-Only,192,256,December 2019,0
64,64,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.16xlarge,EBS-Only,256,256,December 2019,0
64,8,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.2xlarge,EBS-Only,32,256,December 2019,0
64,8,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.2xlarge.elasticsearch,EBS-Only,32,256,December 2019,0
64,16,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.4xlarge,EBS-Only,64,256,December 2019,0
64,16,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.4xlarge.elasticsearch,EBS-Only,64,256,December 2019,0
64,32,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.8xlarge,EBS-Only,128,256,December 2019,0
64,32,AWS,AWS Graviton2,110.00,N/A,N/A,AWS Graviton2 (ARM),m6g.8xlarge.elasticsearch,EBS-Only,128,256,December 2019,0
