cpu-cores-available,cpu-cores-utilized,cpu-manufacturer,cpu-model-name,cpu-tdp,gpu-count,gpu-model-name,gpu-tdp,instance-class,memory-available
128.00,2.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC2as_v5,8.0
64.00,2.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC2ds_v3,16.0
16.00,2.0,Intel,Intel® Xeon® E-2288G,95.00,,,,Standard_DC2s_v2,8.0
64.00,2.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC2s_v3,16.0
128.00,32.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC32ads_v5,128.0
128.00,32.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC32as_cc_v5,128.0
128.00,32.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC32as_v5,128.0
64.00,32.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC32ds_v3,256.0
64.00,32.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC32s_v3,256.0
128.00,48.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC48ads_v5,192.0
128.00,48.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC48as_cc_v5,192.0
128.00,48.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC48as_v5,192.0
64.00,48.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC48ds_v3,384.0
64.00,48.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC48s_v3,384.0
128.00,4.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC4ads_v5,16.0
128.00,4.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC4as_cc_v5,16.0
128.00,4.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC4as_v5,16.0
64.00,4.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC4ds_v3,32.0
16.00,4.0,Intel,Intel® Xeon® E-2288G,95.00,,,,Standard_DC4s_v2,16.0
64.00,4.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC4s_v3,32.0
128.00,64.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC64ads_v5,256.0
128.00,64.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC64as_cc_v5,256.0
128.00,64.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC64as_v5,256.0
16.00,8.0,Intel,Intel® Xeon® E-2288G,95.00,,,,Standard_DC8_v2,32.0
128.00,8.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC8ads_v5,32.0
128.00,8.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC8as_cc_v5,32.0
128.00,8.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC8as_v5,32.0
64.00,8.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC8ds_v3,64.0
64.00,8.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_DC8s_v3,64.0
128.00,96.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC96ads_v5,384.0
128.00,96.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC96as_cc_v5,384.0
128.00,96.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_DC96as_v5,384.0
64.00,1.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_DS1_v2,3.5
64.00,2.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_DS2_v2,7.0
64.00,4.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_DS3_v2,14.0
64.00,8.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_DS4_v2,28.0
64.00,16.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_DS5_v2,56.0
64.00,104,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E104i_v5,672.00
64.00,104,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E104id_v5,672.00
64.00,104,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E104is_v5,672.00
128.00,112,AMD,AMD EPYC™ 7763,280.00,,,,Standard_E112iads_v53,672.00
128.00,112,AMD,AMD EPYC™ 7763,280.00,,,,Standard_E112ias_v5,672.00
52.00,96,Intel,Intel® Xeon® Platinum 8272CL,205.00,,,,Standard_E112ibs_v5,672.00
64.00,16,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz",270.00,,,,Standard_E16_v3,128.00
64.00,16,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E16_v4,128.00
64.00,16,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E16_v5,128.00
128.00,16,AMD,"AMD EPYC™ 7452,AMD EPYC™ 7763",280.00,,,,Standard_E16a_v4,128.00
128.00,16,AMD,AMD EPYC™ 7763,280.00,,,,Standard_E16ads_v52,128.00
128.00,16,AMD,"AMD EPYC™ 7452,AMD EPYC™ 7763",280.00,,,,Standard_E16as_v4,128.00
128.00,16,AMD,AMD EPYC™ 7763,280.00,,,,Standard_E16as_v5,128.00
52.00,16,Intel,Intel® Xeon® Platinum 8272CL,205.00,,,,Standard_E16bs_v5,128.00
52.00,16,Intel,Intel® Xeon® Platinum 8272CL,205.00,,,,Standard_E16bs_v5,128.00
64.00,16,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E16d_v4,128.00
64.00,16,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_E16d_v5,128.00
64.00,16,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E16ds_v4,128.00
128.00,16,Ampere,Ampere® Altra®,180.00,,,,Standard_E16pds_v5,128.00
128.00,16,Ampere,Ampere® Altra®,180.00,,,,Standard_E16ps_v5,128.00
64.00,16,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz",270.00,,,,Standard_E16s_v3,128.00
64.00,16,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL",270.00,,,,Standard_E16s_v4,128.00
